Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.694	300.00	451.50	0.0022149	-1.1182	-1.0447	-11.012	34.756	53.899	1543.6	-0.0059981	203.11	0.21189	liquid
92.694	300.00	450.18	0.0022213	-1.0645	-0.99074	-10.427	34.656	53.952	1534.6	-0.0059720	196.91	0.21071	liquid
93.694	300.00	448.86	0.0022279	-1.0107	-0.93676	-9.8476	34.559	54.009	1525.7	-0.0059447	191.02	0.20952	liquid
94.694	300.00	447.53	0.0022345	-0.95687	-0.88272	-9.2739	34.464	54.069	1516.6	-0.0059164	185.42	0.20831	liquid
95.694	300.00	446.20	0.0022411	-0.90299	-0.82862	-8.7056	34.372	54.132	1507.5	-0.0058871	180.07	0.20708	liquid
96.694	300.00	444.87	0.0022479	-0.84905	-0.77446	-8.1425	34.281	54.199	1498.4	-0.0058567	174.97	0.20584	liquid
97.694	300.00	443.53	0.0022546	-0.79504	-0.72022	-7.5845	34.193	54.268	1489.2	-0.0058253	170.10	0.20459	liquid
98.694	300.00	442.18	0.0022615	-0.74096	-0.66592	-7.0315	34.106	54.339	1480.0	-0.0057929	165.45	0.20332	liquid
99.694	300.00	440.83	0.0022684	-0.68682	-0.61154	-6.4833	34.021	54.414	1470.7	-0.0057594	161.00	0.20205	liquid
100.69	300.00	439.48	0.0022754	-0.63260	-0.55709	-5.9398	33.937	54.490	1461.4	-0.0057249	156.74	0.20076	liquid
101.69	300.00	438.11	0.0022825	-0.57830	-0.50256	-5.4009	33.854	54.570	1452.1	-0.0056893	152.66	0.19946	liquid
102.69	300.00	436.75	0.0022897	-0.52393	-0.44795	-4.8666	33.773	54.651	1442.7	-0.0056526	148.75	0.19815	liquid
103.69	300.00	435.37	0.0022969	-0.46948	-0.39326	-4.3366	33.692	54.735	1433.3	-0.0056148	144.99	0.19683	liquid
104.69	300.00	433.99	0.0023042	-0.41494	-0.33848	-3.8108	33.612	54.821	1423.8	-0.0055759	141.39	0.19550	liquid
105.69	300.00	432.61	0.0023116	-0.36032	-0.28362	-3.2893	33.534	54.909	1414.3	-0.0055357	137.92	0.19417	liquid
106.69	300.00	431.21	0.0023190	-0.30562	-0.22866	-2.7718	33.456	55.000	1404.7	-0.0054944	134.59	0.19283	liquid
107.69	300.00	429.81	0.0023266	-0.25082	-0.17362	-2.2582	33.379	55.094	1395.1	-0.0054518	131.38	0.19148	liquid
108.69	300.00	428.41	0.0023342	-0.19593	-0.11847	-1.7486	33.302	55.189	1385.5	-0.0054080	128.29	0.19012	liquid
109.69	300.00	426.99	0.0023420	-0.14095	-0.063236	-1.2427	33.227	55.288	1375.9	-0.0053628	125.32	0.18876	liquid
110.69	300.00	425.57	0.0023498	-0.085872	-0.0078983	-0.74052	33.152	55.389	1366.2	-0.0053162	122.45	0.18739	liquid
111.69	300.00	424.14	0.0023577	-0.030694	0.047542	-0.24192	33.078	55.492	1356.4	-0.0052682	119.68	0.18601	liquid
112.69	300.00	422.71	0.0023657	0.024585	0.10309	0.25316	33.004	55.599	1346.6	-0.0052187	117.01	0.18463	liquid
113.69	300.00	421.26	0.0023738	0.079969	0.15874	0.74482	32.931	55.708	1336.8	-0.0051677	114.43	0.18325	liquid
114.69	300.00	419.81	0.0023820	0.13546	0.21450	1.2331	32.859	55.820	1327.0	-0.0051151	111.93	0.18186	liquid
115.69	300.00	418.35	0.0023903	0.19106	0.27038	1.7182	32.787	55.936	1317.1	-0.0050608	109.52	0.18047	liquid
116.69	300.00	416.88	0.0023988	0.24678	0.32638	2.2001	32.716	56.054	1307.1	-0.0050049	107.18	0.17907	liquid
117.69	300.00	415.40	0.0024073	0.30261	0.38249	2.6790	32.646	56.177	1297.2	-0.0049471	104.92	0.17767	liquid
