Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
430.69	100.00	3.0947	0.32313	16.129	19.703	105.26	34.090	42.624	527.31	0.022708	15.182	0.055785	vapor
431.69	100.00	3.0875	0.32389	16.163	19.746	105.36	34.148	42.681	527.84	0.022570	15.209	0.055965	vapor
432.69	100.00	3.0802	0.32465	16.198	19.789	105.46	34.207	42.739	528.37	0.022432	15.236	0.056145	vapor
433.69	100.00	3.0730	0.32541	16.232	19.831	105.56	34.265	42.796	528.90	0.022295	15.264	0.056325	vapor
434.69	100.00	3.0658	0.32618	16.266	19.874	105.65	34.323	42.853	529.43	0.022159	15.291	0.056505	vapor
435.69	100.00	3.0587	0.32694	16.301	19.917	105.75	34.382	42.910	529.96	0.022024	15.318	0.056685	vapor
436.69	100.00	3.0516	0.32770	16.335	19.960	105.85	34.440	42.968	530.49	0.021890	15.346	0.056866	vapor
437.69	100.00	3.0445	0.32846	16.370	20.003	105.95	34.499	43.025	531.02	0.021757	15.373	0.057047	vapor
438.69	100.00	3.0375	0.32922	16.405	20.046	106.05	34.557	43.082	531.54	0.021625	15.400	0.057228	vapor
439.69	100.00	3.0305	0.32998	16.439	20.089	106.15	34.616	43.140	532.07	0.021494	15.427	0.057410	vapor
440.69	100.00	3.0235	0.33074	16.474	20.132	106.24	34.675	43.198	532.60	0.021363	15.454	0.057592	vapor
441.69	100.00	3.0166	0.33150	16.509	20.176	106.34	34.733	43.255	533.12	0.021234	15.482	0.057774	vapor
442.69	100.00	3.0096	0.33226	16.544	20.219	106.44	34.792	43.313	533.65	0.021105	15.509	0.057956	vapor
443.69	100.00	3.0028	0.33303	16.579	20.262	106.54	34.851	43.371	534.17	0.020977	15.536	0.058139	vapor
444.69	100.00	2.9959	0.33379	16.614	20.306	106.64	34.910	43.428	534.69	0.020850	15.563	0.058321	vapor
