Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.694	200.00	451.05	0.0022171	-1.1117	-1.0626	-10.940	34.728	53.960	1538.9	-0.0059836	201.45	0.21128	liquid
92.694	200.00	449.72	0.0022236	-1.0578	-1.0086	-10.355	34.628	54.015	1529.9	-0.0059568	195.30	0.21009	liquid
93.694	200.00	448.40	0.0022302	-1.0039	-0.95459	-9.7747	34.531	54.074	1520.8	-0.0059288	189.46	0.20889	liquid
94.694	200.00	447.06	0.0022368	-0.94996	-0.90048	-9.2003	34.436	54.136	1511.7	-0.0058998	183.90	0.20768	liquid
95.694	200.00	445.72	0.0022435	-0.89594	-0.84631	-8.6312	34.343	54.202	1502.6	-0.0058697	178.60	0.20645	liquid
96.694	200.00	444.38	0.0022503	-0.84186	-0.79208	-8.0674	34.253	54.270	1493.4	-0.0058386	173.54	0.20520	liquid
97.694	200.00	443.03	0.0022572	-0.78770	-0.73777	-7.5087	34.164	54.342	1484.1	-0.0058064	168.71	0.20394	liquid
98.694	200.00	441.68	0.0022641	-0.73348	-0.68339	-6.9549	34.077	54.416	1474.8	-0.0057731	164.09	0.20267	liquid
99.694	200.00	440.32	0.0022711	-0.67918	-0.62894	-6.4059	33.992	54.493	1465.4	-0.0057388	159.67	0.20138	liquid
100.69	200.00	438.96	0.0022781	-0.62480	-0.57440	-5.8616	33.907	54.573	1456.1	-0.0057033	155.44	0.20009	liquid
101.69	200.00	437.58	0.0022853	-0.57035	-0.51979	-5.3219	33.825	54.655	1446.6	-0.0056668	151.39	0.19878	liquid
102.69	200.00	436.21	0.0022925	-0.51581	-0.46509	-4.7867	33.743	54.739	1437.1	-0.0056291	147.51	0.19746	liquid
103.69	200.00	434.82	0.0022998	-0.46119	-0.41031	-4.2558	33.662	54.826	1427.6	-0.0055902	143.78	0.19614	liquid
104.69	200.00	433.43	0.0023072	-0.40648	-0.35544	-3.7292	33.582	54.916	1418.1	-0.0055502	140.20	0.19480	liquid
105.69	200.00	432.04	0.0023146	-0.35168	-0.30048	-3.2067	33.504	55.008	1408.4	-0.0055090	136.76	0.19346	liquid
106.69	200.00	430.64	0.0023222	-0.29680	-0.24542	-2.6883	33.426	55.102	1398.8	-0.0054665	133.45	0.19211	liquid
107.69	200.00	429.23	0.0023298	-0.24181	-0.19027	-2.1738	33.348	55.199	1389.1	-0.0054226	130.26	0.19075	liquid
108.69	200.00	427.81	0.0023375	-0.18674	-0.13503	-1.6631	33.272	55.298	1379.4	-0.0053775	127.20	0.18938	liquid
109.69	200.00	426.38	0.0023453	-0.13156	-0.079676	-1.1563	33.196	55.401	1369.6	-0.0053309	124.24	0.18801	liquid
110.69	200.00	424.95	0.0023532	-0.076282	-0.024223	-0.65302	33.121	55.506	1359.8	-0.0052830	121.39	0.18664	liquid
111.69	200.00	423.51	0.0023612	-0.020899	0.031336	-0.15336	33.047	55.614	1350.0	-0.0052335	118.64	0.18525	liquid
112.69	200.00	422.06	0.0023693	0.034590	0.087005	0.34283	32.973	55.724	1340.1	-0.0051824	115.98	0.18387	liquid
113.69	200.00	420.61	0.0023775	0.090190	0.14279	0.83562	32.900	55.839	1330.2	-0.0051298	113.42	0.18247	liquid
114.69	200.00	419.14	0.0023858	0.14590	0.19868	1.3251	32.828	55.956	1320.2	-0.0050755	110.94	0.18108	liquid
115.69	200.00	417.67	0.0023943	0.20173	0.25470	1.8114	32.756	56.076	1310.2	-0.0050194	108.54	0.17968	liquid
