Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.694	500.00	452.39	0.0022105	-1.1310	-1.0087	-11.153	34.811	53.783	1552.8	-0.0060261	206.43	0.21310	liquid
92.694	500.00	451.09	0.0022169	-1.0775	-0.95489	-10.570	34.711	53.831	1544.0	-0.0060012	200.14	0.21193	liquid
93.694	500.00	449.78	0.0022233	-1.0240	-0.90104	-9.9918	34.614	53.884	1535.2	-0.0059753	194.15	0.21075	liquid
94.694	500.00	448.47	0.0022298	-0.97045	-0.84712	-9.4194	34.520	53.940	1526.3	-0.0059484	188.45	0.20956	liquid
95.694	500.00	447.15	0.0022364	-0.91684	-0.79316	-8.8525	34.428	53.998	1517.4	-0.0059205	183.02	0.20835	liquid
96.694	500.00	445.83	0.0022430	-0.86318	-0.73913	-8.2908	34.338	54.060	1508.4	-0.0058916	177.84	0.20712	liquid
97.694	500.00	444.51	0.0022497	-0.80945	-0.68503	-7.7343	34.250	54.124	1499.4	-0.0058618	172.90	0.20588	liquid
98.694	500.00	443.18	0.0022564	-0.75567	-0.63088	-7.1827	34.163	54.191	1490.3	-0.0058310	168.18	0.20463	liquid
99.694	500.00	441.84	0.0022632	-0.70182	-0.57665	-6.6361	34.078	54.260	1481.2	-0.0057992	163.66	0.20337	liquid
100.69	500.00	440.50	0.0022701	-0.64791	-0.52236	-6.0941	33.995	54.332	1472.0	-0.0057664	159.33	0.20209	liquid
101.69	500.00	439.16	0.0022771	-0.59392	-0.46799	-5.5569	33.912	54.406	1462.8	-0.0057326	155.19	0.20081	liquid
102.69	500.00	437.81	0.0022841	-0.53987	-0.41354	-5.0241	33.831	54.481	1453.6	-0.0056978	151.22	0.19951	liquid
103.69	500.00	436.45	0.0022912	-0.48574	-0.35902	-4.4958	33.751	54.559	1444.4	-0.0056619	147.41	0.19821	liquid
104.69	500.00	435.09	0.0022984	-0.43154	-0.30442	-3.9718	33.672	54.639	1435.1	-0.0056250	143.76	0.19689	liquid
105.69	500.00	433.72	0.0023056	-0.37726	-0.24974	-3.4520	33.593	54.722	1425.7	-0.0055870	140.24	0.19557	liquid
106.69	500.00	432.35	0.0023129	-0.32290	-0.19498	-2.9363	33.516	54.806	1416.4	-0.0055479	136.86	0.19425	liquid
107.69	500.00	430.97	0.0023204	-0.26846	-0.14013	-2.4246	33.439	54.892	1407.0	-0.0055077	133.61	0.19291	liquid
108.69	500.00	429.58	0.0023278	-0.21394	-0.085195	-1.9168	33.363	54.981	1397.5	-0.0054663	130.48	0.19157	liquid
109.69	500.00	428.19	0.0023354	-0.15933	-0.030169	-1.4129	33.288	55.072	1388.1	-0.0054236	127.47	0.19022	liquid
110.69	500.00	426.79	0.0023431	-0.10464	0.024949	-0.91270	33.213	55.165	1378.6	-0.0053797	124.56	0.18887	liquid
111.69	500.00	425.38	0.0023508	-0.049851	0.080162	-0.41616	33.139	55.261	1369.0	-0.0053345	121.76	0.18751	liquid
112.69	500.00	423.97	0.0023586	0.0050248	0.13547	0.076824	33.066	55.359	1359.5	-0.0052879	119.05	0.18615	liquid
113.69	500.00	422.55	0.0023666	0.059995	0.19088	0.56633	32.993	55.459	1349.9	-0.0052400	116.44	0.18478	liquid
114.69	500.00	421.12	0.0023746	0.11506	0.24639	1.0524	32.921	55.562	1340.2	-0.0051906	113.91	0.18341	liquid
115.69	500.00	419.69	0.0023827	0.17023	0.30201	1.5352	32.849	55.668	1330.5	-0.0051396	111.47	0.18203	liquid
116.69	500.00	418.24	0.0023910	0.22549	0.35773	2.0148	32.779	55.777	1320.8	-0.0050872	109.11	0.18065	liquid
117.69	500.00	416.79	0.0023993	0.28087	0.41356	2.4912	32.708	55.889	1311.1	-0.0050331	106.82	0.17927	liquid
118.69	500.00	415.33	0.0024077	0.33635	0.46951	2.9646	32.639	56.004	1301.3	-0.0049773	104.60	0.17789	liquid
119.69	500.00	413.86	0.0024163	0.39194	0.52557	3.4349	32.570	56.122	1291.5	-0.0049198	102.46	0.17650	liquid
120.69	500.00	412.38	0.0024249	0.44764	0.58175	3.9023	32.501	56.243	1281.6	-0.0048604	100.38	0.17511	liquid
121.69	500.00	410.90	0.0024337	0.50346	0.63806	4.3669	32.433	56.369	1271.7	-0.0047991	98.359	0.17372	liquid
122.69	500.00	409.40	0.0024426	0.55940	0.69449	4.8288	32.366	56.497	1261.8	-0.0047359	96.401	0.17233	liquid
123.69	500.00	407.90	0.0024516	0.61547	0.75105	5.2879	32.300	56.630	1251.8	-0.0046706	94.498	0.17093	liquid
124.69	500.00	406.38	0.0024608	0.67166	0.80775	5.7444	32.234	56.767	1241.8	-0.0046032	92.651	0.16953	liquid
125.69	500.00	404.85	0.0024700	0.72798	0.86459	6.1984	32.169	56.908	1231.8	-0.0045335	90.855	0.16814	liquid
126.69	500.00	403.32	0.0024794	0.78444	0.92157	6.6500	32.104	57.054	1221.7	-0.0044615	89.108	0.16674	liquid
127.69	500.00	401.77	0.0024890	0.84104	0.97870	7.0991	32.040	57.204	1211.6	-0.0043871	87.409	0.16534	liquid
128.69	500.00	400.21	0.0024987	0.89779	1.0360	7.5459	31.977	57.360	1201.4	-0.0043101	85.755	0.16393	liquid
129.69	500.00	398.64	0.0025085	0.95468	1.0934	7.9905	31.915	57.520	1191.1	-0.0042305	84.145	0.16253	liquid
130.69	500.00	397.06	0.0025185	1.0117	1.1510	8.4330	31.853	57.686	1180.9	-0.0041480	82.576	0.16113	liquid
131.69	500.00	395.46	0.0025287	1.0689	1.2088	8.8733	31.792	57.858	1170.5	-0.0040627	81.046	0.15972	liquid
132.69	500.00	393.86	0.0025390	1.1263	1.2667	9.3117	31.732	58.035	1160.1	-0.0039743	79.555	0.15832	liquid
133.69	500.00	392.24	0.0025495	1.1839	1.3249	9.7481	31.672	58.220	1149.7	-0.0038827	78.100	0.15691	liquid
134.69	500.00	390.60	0.0025601	1.2416	1.3832	10.183	31.613	58.410	1139.2	-0.0037878	76.680	0.15551	liquid
135.69	500.00	388.95	0.0025710	1.2995	1.4417	10.615	31.556	58.608	1128.7	-0.0036894	75.293	0.15410	liquid
136.69	500.00	387.29	0.0025820	1.3576	1.5004	11.046	31.499	58.814	1118.1	-0.0035873	73.939	0.15270	liquid
137.69	500.00	385.61	0.0025933	1.4159	1.5593	11.476	31.443	59.027	1107.4	-0.0034813	72.615	0.15129	liquid
138.69	500.00	383.92	0.0026047	1.4744	1.6185	11.904	31.387	59.248	1096.7	-0.0033713	71.320	0.14988	liquid
139.69	500.00	382.21	0.0026164	1.5331	1.6778	12.330	31.333	59.479	1085.9	-0.0032570	70.053	0.14847	liquid
140.69	500.00	380.48	0.0026282	1.5921	1.7374	12.755	31.280	59.718	1075.1	-0.0031381	68.814	0.14706	liquid
141.69	500.00	378.74	0.0026404	1.6512	1.7973	13.179	31.227	59.968	1064.1	-0.0030146	67.600	0.14565	liquid
142.69	500.00	376.97	0.0026527	1.7106	1.8574	13.602	31.176	60.228	1053.1	-0.0028859	66.411	0.14424	liquid
143.69	500.00	375.19	0.0026653	1.7703	1.9177	14.023	31.126	60.499	1042.1	-0.0027520	65.245	0.14283	liquid
144.69	500.00	373.39	0.0026782	1.8302	1.9784	14.444	31.076	60.782	1030.9	-0.0026125	64.103	0.14142	liquid
145.69	500.00	371.57	0.0026913	1.8904	2.0393	14.864	31.028	61.078	1019.7	-0.0024671	62.981	0.14000	liquid
146.69	500.00	369.72	0.0027047	1.9509	2.1005	15.283	30.981	61.387	1008.3	-0.0023153	61.881	0.13859	liquid
147.69	500.00	367.86	0.0027184	2.0117	2.1621	15.701	30.936	61.710	996.93	-0.0021569	60.800	0.13717	liquid
148.69	500.00	365.97	0.0027325	2.0728	2.2239	16.118	30.891	62.049	985.42	-0.0019914	59.738	0.13575	liquid
149.69	500.00	364.05	0.0027469	2.1343	2.2862	16.535	30.848	62.404	973.82	-0.0018183	58.694	0.13433	liquid
150.69	500.00	362.11	0.0027616	2.1960	2.3488	16.952	30.806	62.776	962.11	-0.0016371	57.667	0.13291	liquid
151.69	500.00	360.14	0.0027767	2.2582	2.4117	17.368	30.766	63.168	950.29	-0.0014474	56.657	0.13148	liquid
152.69	500.00	358.15	0.0027921	2.3207	2.4751	17.785	30.728	63.581	938.36	-0.0012485	55.662	0.13005	liquid
