Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.694	400.00	451.94	0.0022127	-1.1246	-1.0267	-11.083	34.784	53.840	1548.2	-0.0060123	204.77	0.21249	liquid
92.694	400.00	450.63	0.0022191	-1.0710	-0.97283	-10.498	34.684	53.891	1539.3	-0.0059868	198.52	0.21132	liquid
93.694	400.00	449.32	0.0022256	-1.0174	-0.91891	-9.9199	34.587	53.946	1530.4	-0.0059602	192.59	0.21014	liquid
94.694	400.00	448.00	0.0022321	-0.96370	-0.86494	-9.3469	34.492	54.004	1521.5	-0.0059326	186.93	0.20893	liquid
95.694	400.00	446.68	0.0022387	-0.90995	-0.81090	-8.7793	34.400	54.065	1512.5	-0.0059040	181.55	0.20772	liquid
96.694	400.00	445.35	0.0022454	-0.85615	-0.75681	-8.2169	34.310	54.128	1503.4	-0.0058744	176.41	0.20648	liquid
97.694	400.00	444.02	0.0022521	-0.80229	-0.70265	-7.6597	34.222	54.195	1494.3	-0.0058438	171.50	0.20524	liquid
98.694	400.00	442.68	0.0022590	-0.74836	-0.64842	-7.1074	34.135	54.264	1485.2	-0.0058122	166.81	0.20398	liquid
99.694	400.00	441.34	0.0022658	-0.69437	-0.59412	-6.5600	34.050	54.336	1476.0	-0.0057796	162.33	0.20271	liquid
100.69	400.00	439.99	0.0022728	-0.64030	-0.53974	-6.0173	33.966	54.410	1466.8	-0.0057459	158.04	0.20143	liquid
101.69	400.00	438.64	0.0022798	-0.58616	-0.48529	-5.4792	33.883	54.486	1457.5	-0.0057112	153.93	0.20013	liquid
102.69	400.00	437.28	0.0022869	-0.53195	-0.43077	-4.9457	33.802	54.565	1448.2	-0.0056755	149.99	0.19883	liquid
103.69	400.00	435.92	0.0022940	-0.47766	-0.37616	-4.4165	33.722	54.646	1438.8	-0.0056387	146.20	0.19752	liquid
104.69	400.00	434.54	0.0023013	-0.42329	-0.32148	-3.8917	33.642	54.729	1429.5	-0.0056008	142.57	0.19620	liquid
105.69	400.00	433.17	0.0023086	-0.36885	-0.26671	-3.3710	33.564	54.814	1420.0	-0.0055618	139.08	0.19487	liquid
106.69	400.00	431.78	0.0023160	-0.31432	-0.21185	-2.8544	33.486	54.902	1410.6	-0.0055216	135.73	0.19354	liquid
107.69	400.00	430.39	0.0023234	-0.25970	-0.15690	-2.3418	33.409	54.991	1401.1	-0.0054802	132.50	0.19220	liquid
108.69	400.00	429.00	0.0023310	-0.20500	-0.10186	-1.8331	33.333	55.084	1391.6	-0.0054376	129.39	0.19085	liquid
109.69	400.00	427.60	0.0023387	-0.15021	-0.046733	-1.3282	33.257	55.178	1382.0	-0.0053937	126.39	0.18949	liquid
110.69	400.00	426.19	0.0023464	-0.095322	0.0084934	-0.82707	33.183	55.275	1372.4	-0.0053484	123.51	0.18813	liquid
111.69	400.00	424.77	0.0023542	-0.040344	0.063818	-0.32951	33.109	55.375	1362.8	-0.0053019	120.72	0.18676	liquid
112.69	400.00	423.34	0.0023622	0.014731	0.11924	0.16450	33.035	55.477	1353.1	-0.0052539	118.03	0.18539	liquid
